instrument,rejection_reason,count
GOLD,indicator_data_unavailable,1100
GOLD,no_mean_reversion_or_structural_setup,8628
GOLD,primary_mean_reversion_rearm_blocked,2333
NQ,HARD_RISK_CAP_EXCEEDED,21
NQ,INVALID_STOP_DISTANCE,33
NQ,ema_alignment_failed,3282
NQ,indicator_data_unavailable,1100
NQ,order_block_alignment_failed,4842
NQ,structure_continuation_failed,3717
YM,HARD_RISK_CAP_EXCEEDED,6
YM,indicator_data_unavailable,1100
YM,no_mean_reversion_or_ema_continuation_setup,4739
YM,primary_mean_reversion_rearm_blocked,1263
YM,secondary_ema_continuation_rearm_blocked,5756
